category,description,lang,rating_avg,title,has_rating,description_len
"Environmental Science, Engineering & Technology",An analysis of stream mitigation banking and the challenges of implementing market-based approaches to environmental conservation.,en,,Streams of Revenue : The Restoration Economy and the Ecosystems It Creates,False,130
"Environmental Science, Engineering & Technology","Based on a unique industrial European membership, the European Oceanic Association, ""non-profit Association has as its object the pooling of talents, resources and ex  perience in the marine field with the purpose of promoting in Europe a concentration of efforts to foster the study and exploration of the seas in the light of their industrial exploitation"" (articZe 2 of the statutes). The major concern of protecting the marine environment, whilst at the same time taking into consideration the present constraints on economic and industrial develop  ment, has led the European Oceanic Association to establish constructive contacts with the Commission of European Communities. Following an interview in November 1972 with leading representatives of the Commission of European Communities and with the heads of the Environment and Consumer Pro  tection Service, contacts were established which resulted, in May 1973, in the signing of a contract for studies between the Commission of European Communities and the European Oceanic Association. The essential point of the contract granted to the Associa  tion was: "" a contribution to the study of a preventative technology with the aim of arresting the deterioration of the marine environment by limiting and controlling present and future wastes"". As a result of working groups between interested members of the Association, an area of study was chosen, comprising: - specific subjects relative to polluting elements or groups of elements, l.e: * chromium, * cadmium-zinc, * cyano-metallic compounds; - more general studies concerning monitoring systems; - specific and general recommendations.",en,,Metallic Effluents of Industrial Origin in the Marine Environment : A report prepared for the Directorate-General for Industrial and Technological Affairs and for the Environment and Consumer Protection Service of the European Communities by l'Association Europeenne Oceanique,False,1647
"Environmental Science, Engineering & Technology","There are various innovations and new technologies being produced in the energy, transportation, and building industries to combat climate change and improve environmental performance, but another way to combat this is examining the world's food resources. Currently, there are global challenges associated with livestock and meat consumption, giving way to resource scarcity and the inability to sustain animal agriculture.",en,,"Environmental, Health, and Business Opportunities in the New Meat Alternatives Market",False,424
"Environmental Science, Engineering & Technology","The Politics of Sustainability in the Arctic argues that sustainability is a political concept because it defines and shapes competing visions of the future. In current Arctic affairs, prominent stakeholders agree that development needs to be sustainable, but there is no agreement over what it is that needs to be sustained. In original conservationist discourse, the environment was the sole referent object of sustainability; however, as sustainability discourses have expanded, the concept has been linked to an increasing number of referent objects, such as society, economy, culture, and identity.",en,,"The Politics of Sustainability in the Arctic : Reconfiguring Identity, Space, and Time",False,603
"Environmental Science, Engineering & Technology","Reviews of Environmental Contamination and Toxicology provides concise, critical review articles of timely advances, philosophy and significant areas of accomplished or needed endeavor in the total field of xenobiotics, in any segment of the environment, as well as toxicological implications.",en,,Reviews of Environmental Contamination and Toxicology 191,False,293
History Of The Americas,"China is a multiethnic country with vast territory, a land of diverse ecosystems. With the drive for industrialization in China and the implementation of 'western grand development' strategy in western regions, both governments and people face great challenges in environmental protection and sustainable use of biodiversity resources as a result of growing interaction between human activities and natural environment. To meet the challenges, governments in these regions need to adopt a series of important policy measures, not only to reduce industrial emissions, but also to return farmland to forests and pasture to grasslands and to implement measures of ecological migration to reduce human activities in ecological conservation areas. In this regard, China must not only learn profound lessons from industrialized countries but also search for international cooperation. The United States provides some good comparative case studies on the environmental protection, grassroots environmental management, and conservation policies in western regions This book attempts to address key questions about Chinese and U.S. environmental policies by looking at historical development of environmental protection and current environmental policy in the western regions of the two countries.",en,,Environmental Protection Policy and Experience in the U.S. and China's Western Regions,False,1288
"Environmental Science, Engineering & Technology","Shattered Consensus: The True State of Global Warming should be required reading for any serious student of the issue of climate change. Edited and introduced by iconoclastic climatologist Patrick J. Michaels, Shattered Consensus demonstrates the remarkable disparities between so-called consensus documents on global warming, such as the reports of the United Nations' Intergovernmental Panel on Climate Change, and climate reality.   Shattered Consensus consists of nine expert essays on global warming, covering the earth's temperature history and disparities between what has been predicted about climate change and what has actually been observed. The reader will discover substantial disconnections and new information not generally discussed in mainstream reports about climate science. For example, the oft-quoted statement that recent years are the warmest of the last millennium is now in serious doubt. Temperature changes observed through the atmosphere (not just at the surface) are clearly different than what has been projected to occur. Disparities between observed precipitation and the simulations of computer models can be several hundred percent.   Shattered Consensus will surely shatter commonly-held opinions about global warming and leave the reader with serious questions about whether or not policies to ""fight"" climate change are warranted at all.",en,4.6,Shattered Consensus : The True State of Global Warming,True,1374
"Environmental Science, Engineering & Technology","The principal barrier to the introduction of more sustainable disposal methods has previously been thought to be the lack of both available knowledge and an awareness of the benefits and ease of these systems.  Illustrated by an in-depth analysis of waste reduction, reuse and recycling behaviour in Exeter, Devon, this volume questions these assumptions.  It not only provides a fresh examination of the previous (mainly US-focused) research into the underlying determinants of waste management behaviour from a geographical perspective, but also develops a new theoretical model based on the Theory of Reasoned Action.  Linking three broad categories: environmental values, situational characteristics and psychological factors, the book provides a timely evaluation of research on household waste management, develops an original analytical model and demonstrates the utility and importance of focusing on individual attitudes.",en,,"Household Waste in Social Perspective : Values, Attitudes, Situation and Behaviour",False,930
Reference Works,"Choosing 250 of the biggest and most influential bands of the extreme metal genre, he then established a benchmark with his guide that others have since imitated.",en,4.0,Extreme Metal II,True,162
"Environmental Science, Engineering & Technology","This book comprises select proceedings of the International Conference on Water, Environment, Energy and Society. The book is divided into five parts. The first part deals with some aspects of environmental pollution such as socio-economic environment assessment for sustainable development, environmental issues due to fire in coal Mines and its impact and suggestions for implementing precautionary and control measures, redevelopment of urban slum dwellings: issues & challenges, air and noise pollution in mega cities, importance of indoor environmental quality in green buildings. Part II discusses pollution indicators such as assessment and prediction of environmental noise, fuzzy logic based performance evaluation, fish biodiversity and its periodic reduction, effects of anthropogenic activities on fresh water ecosystems, and monitoring of air pollution. Part III focuses on generation of pollution namely biomedical waste generation and management, heavy metal leaching, etc. Water quality assessment is described in Part IV. The Part V presents water quality modeling. The book will be of interest to researchers and practitioners in the field of water resources, hydrology, environmental resources, agricultural engineering, watershed management, earth sciences, as well as those engaged in natural resources planning and management. Graduate students and those wishing to conduct further research in water and environment and their development and management will also find the book to be of value.",en,,Environmental Pollution : Select Proceedings of ICWEES-2016,False,1514
"Environmental Science, Engineering & Technology","This book contains two parts. The first part deals with some aspects of irrigation, encompassing farm irrigation systems, landscape gardening, energy assessment for drip irrigation, and micro-sprinklers. The second part is on water resources planning and management. It discusses water crisis, challenges in river health management, water supply systems, salt water intrusion, lake management, water supply demand assessment, integrated water resources management, among other topics. The book will be of interest to researchers and practitioners in the field of water resources, hydrology, environmental resources, agricultural engineering, watershed management, earth sciences, as well as those engaged in natural resources planning and management. Graduate students and those wishing to conduct further research in water and environment and their development and management may find the book to be of value.",en,,Water Resources Management : Select Proceedings of ICWEES-2016,False,910
"Environmental Science, Engineering & Technology","Seit Menschen an Fliessgewassern siedeln, versuchen sie, ihr Hab und Gut vor den verheerenden Folgen von Uberschwemmungen zu schutzen. Die Methoden des Hochwasserschutzes haben sich im Laufe der Zeit aber stark gewandelt. Wahrend jahrhundertelang nur lokale, kleinraumige Massnahmen vorgenommen wurden, kamen im 19. Jahrhundert die grossen Gewasserkorrektionen auf. In der Hoffnung, die Uberschwemmungen ganzlich zu verhindern, wurden die Flusse und Bache der Schweiz nach und nach kanalisiert und verbaut. Gegen Ende des 20. Jahrhunderts setzte ein erneuter Wandel ein, und das heisst, seit einigen Jahrzehnten wird versucht, den Gewassern wieder mehr Raum zu geben. Dieser Wandel im Hochwasserschutz lasst sich an der Gurbe, einem rund dreissig Kilometer langen Fluss sudlich von Bern, exemplarisch aufzeigen. Aufgrund der stets wiederkehrenden Uberschwemmungen wurden hier seit der Mitte des 19. Jahrhunderts fortlaufend grosse Praventionsprojekte umgesetzt. Melanie Salvisberg untersucht die im Zeitraum von 1855 bis 2010 vorgenommenen Schutzmassnahmen und berucksichtigt dabei sowohl die Wildbachverbauung im Oberlauf als auch den Gurbekanal in der Talebene. Thematisiert werden nicht nur Art und Umfang der Praventionsprojekte, sondern auch deren Finanzierung sowie Schwierigkeiten und Konflikte. Als besonders interessant erweisen sich die Auswirkungen der Hochwasserschutzmassnahmen auf die Landschafts-, Wirtschafts-, Verkehrs- und Siedlungsentwicklung im Gurbetal. Das reich bebilderte und lebendig geschriebene Buch richtet sich an ein breites Publikum und erganzt die ebenfalls im Schwabe Verlag erschienene wissenschaftliche Publikation zum Thema.",de,,Die Unzahmbare Gurbe : Uberschwemmungen Und Hochwasserschutz Seit Dem 19. Jahrhundert,False,1660
"Environmental Science, Engineering & Technology","Imagine what having more advocates could do for environmental organization: more engaged volunteers, more political wins for conservation, more financial support, and more enthusiastic collaborations. The U.S. is fortunate to have people from many different cultures and ethnicities, yet so many of these good folks have not been invited to full participation in the green movement.",en,,Fool Willing : The Secret Power of Play to Engage Communities in Your Green Organization,False,382
Reference Works,"Edited by acclaimed science writer and physicist James Trefil, the Encyclopedia's 1000 entries combine in-depth coverage with a vivid graphic format to bring every facet of science, technology, and medicine into stunning focus. From absolute zero to the Mesozoic era to semiconductors to the twin paradox, Trefil and his co-authors have an uncanny ability to convey how the universe works and to show readers how to apply that knowledge to everyday problems.",en,4.0,The Encyclopedia of Science and Technology,True,458
History Of The Americas,"Military historians, political scientists, policy analysts, and those with an interest in the history of government, technology, and public administration will welcome this comprehensive overview of a key period in Canadian military and strategic history.",en,4.16,"Defence and Discovery : Canada's Military Space Program, 1945-74",True,255
Children's Fiction,"Repetitive, predictable story lines and illustrations that match the text provide maximum support to the emergent reader. Engaging stories promote reading comprehension, and easy and fun activities on the inside back covers extend learning. Great for Reading First, Fluency, Vocabulary, Text Comprehension, and ESL/ELL!",en,,Mr. Noisy's Book of Patterns,False,319
"Environmental Science, Engineering & Technology",An Introduction to Soils for Environmental Professionals assembles and presents the basic principles of each of the major soil science fields. It introduces fundamental concepts and shows the interrelationships between the various branches of soil science - from mineralogy to soil physics. Each chapter was reviewed by a professional in the particul,en,,An Introduction to Soils for Environmental Professionals,False,350
European History,"This book presents the proceedings of the fifth biannual symposium on ""Energy and Security Concerns in the Atlantic Community"". It aims to project what the future will hold for the peace movements and their effects on the policies of the Atlantic Community.",en,,Energy and Security Concerns in the Atlantic Community,False,257
"Environmental Science, Engineering & Technology",This title was first published in 2001:  An insightful account of how different local government structures influence the capacity to address and alleviate the urban environmental problem of air quality management. Using the perspective of local and central authorities and other relevant agencies it combines analysis of the impact of political and institutional changes for air quality management with case studies of London and Mexico City. An extremely useful resource for a wide range of disciplines from comparative local government to environmental studies.,en,,Urban Environmental Governance : Comparing Air Quality Management in London and Mexico City,False,564
"Environmental Science, Engineering & Technology","For safe operations in the Arctic, it is critical to understand the natural conditions and to learn from the experiences of ice pilots who have worked there. In the context of planning the PetroArctic project, accounts of seagoing activities in the Russian Arctic Seas that ersulted in accidents have been gathered and are now made available in this bilingual (Russian-English) volume. Here especially, the physical environment and navigation issues for the Kara, Laptev, East Siberian and Chukchi seas are described. Fully half of the book describes accidents induced by heavy ice conditions since 1900: 94 accidents are carefully reported and classified. Among these, the accidents involve shipwrecks, forced drift (ice jet as special case), overwintering, and various types of vessel damage. Most accounts include details such as distinguishing features, behavior of the crew, photos, and maps, which reveal ice conditions, date, location, and vessels involved (for each of four seas). The book will be useful to scientists, industrial planners and a wide audience interested in the Arctic Seas.",en,,Russian Arctic Seas : Navigational conditions and accidents,False,1098
"Environmental Science, Engineering & Technology","This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artefact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. As a reproduction of a historical artefact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,,Introduction to Meteorology,False,852
"Environmental Science, Engineering & Technology","How do societies negotiate the apparently competing agendas of environmental protection and social justice? Why do some countries perform much better than others? Democracy in the Woods answers these questions by explaining the trajectories of forest and land rights-and the fate of forest-dependent peasants-in the forested regions of India, Tanzania, and Mexico. To organize a comparative inquiry that straddles the fields of comparative politics, historical",en,4.0,"Democracy in the Woods : Environmental Conservation and Social Justice in India, Tanzania, and Mexico",True,460
"Environmental Science, Engineering & Technology","This collection of papers aims to draw lessons and apply indigenous knowledge, wisdom and cultural traditions to suit policy contexts describing the (a) role of individuals (b) communities, and (c) the state to ensure effectively manage water resources. Readers will discover ways in which water was conceptualized, conserved and managed. Contributions will also shed light on the historical, functional and futuristic perspectives of water resources management, and readers will be able to draw lessons and evolve policy guidelines.",en,,Water and Scriptures : Ancient Roots for Sustainable Development,False,533
"Environmental Science, Engineering & Technology","There are many factors to be considered when examining the current state of environmental problems in the modern world. By addressing these causes, the preservation of ecosystems and environmental resources can be maintained.",en,,Environmental Issues Surrounding Human Overpopulation,False,225
"Environmental Science, Engineering & Technology","This book deals with the transformation of the Arctic from an isolated or a distant region to a member of the global community, vulnerable to global changes, and an area frequently in the very center of the world's attention. Increased global interest is a potential source of tensions between the need for exploration or exploitation, and the requirements of protection. This context calls for new data, knowledge and information vital for a better understanding of interactions between different systems, as well as developing awareness about the current and potential changes in the future. The objective of the book is to help develop a strategy of adaptation to climate change based on the knowledge and experience of the extremely effective mechanisms which for centuries made survival possible in this region.",en,,The High North : Between Geography and Politics,False,816
"Environmental Science, Engineering & Technology","Ein Schlussel zur Umweltgeschichte, bei dem die Beziehung zwischen Mensch und Tier im Mittelpunkt steht",de,,"Auf Gedeih Und Verderb : Mensch, Tier Und Umwelt Im Byzantinischen Reich",False,103
"Environmental Science, Engineering & Technology","Heavy metals and metalloids, singly or in combination, induce their toxic manifestations either through acute or chronic pathology. In particular, long-term chronic exposure to diverse heavy metals and metalloids to humans and animals can lead to numerous physical, muscular, neurological, nephrological and diverse degenerative diseases and dysfunctions including multiple sclerosis, muscular dystrophy, Parkinson's and Alzheimer's diseases, cardiovascular disorders and several others.",en,,Metal Toxicology Handbook,False,487
"Environmental Science, Engineering & Technology","Science for the Protection of Indonesian Coastal Ecosystems (SPICE) provides key information on all aspects related to the management of coastal ecosystems. This includes the coastal management involved, the ecology of this area, and the relationship between humans and the environment found here. The book presents guidelines defined by scientific experts, allowing for proper application of science products in to ecosystem management. The bio-geo-physical importance of coastal ecosystems of Indonesia makes this a book of global importance and interest.",en,,Science for the Protection of Indonesian Coastal Ecosystems (SPICE),False,557
"Environmental Science, Engineering & Technology","Sandy beaches represent some of the most dynamic environments on Earth and examining their morphodynamic behaviour over different temporal and spatial scales is challenging, relying on multidisciplinary approaches and techniques. Sandy Beach Morphodynamics brings together the latest research on beach systems and their morphodynamics and the ways in which they are studied in 29 chapters that review the full spectrum of beach morphodynamics. The chapters are written by leading experts in the field and provide introductory level understanding of physical processes and resulting landforms, along with more advanced discussions.",en,,Sandy Beach Morphodynamics,False,630
"Environmental Science, Engineering & Technology","This book marks a watershed in the social sciences. The qualitative, critical perspective of sociology and allied disciplines challenges the technocentric `managerialism' which dominates environmental policy, its discourse and its impact.",en,2.0,Social Theory and the Global Environment,True,238
"Environmental Science, Engineering & Technology","While interest in the relations of power and identity in food explodes, a hesitancy remains about calling these racial. What difference does race make in the fields where food is grown, the places it is sold and the manner in which it is eaten? How do we understand farming and provisioning, tasting and picking, eating and being eaten, hunger and gardening better by paying attention to race? This collection argues there is an unacknowledged racial dimension to the production and consumption of food under globalization. Building on case studies from across the world, it advances the conceptualization of race by emphasizing embodiment, circulation and materiality, while adding to food advocacy an antiracist perspective it often lacks. Within the three socio-physical spatialities of food - fields, bodies and markets - the collection reveals how race and food are intricately linked. An international and multidisciplinary team of scholars complements each other to shed light on how human groups become entrenched in myriad hierarchies through food, at scales from the dining room and market stall to the slave trade and empire. Following foodways as they constitute racial formations in often surprising ways, the chapters achieve a novel approach to the process of race as one that cannot be reduced to biology, culture or capitalism.",en,4.0,"Geographies of Race and Food : Fields, Bodies, Markets",True,1344
"Environmental Science, Engineering & Technology","Whilst there are popular ideas about which champion Aboriginal environmental knowledge, many of these are based more on romantic notions than on any detailed understanding of what might be the content of this knowledge. This book is based on a grounded and broad assessment of less well known details of Aboriginal knowledge and provides both a great deal of detail and a new assessment of rituals and practices.  Aboriginal environmental knowledge is examined here as an integrated source of both religious and scientific knowledge. An important finding is that Aboriginal environmental knowledge also includes knowledge about education for attitudes considered appropriate for survival. Though evidence for this is readily available in the literature, it has not been part of current depictions of Aboriginal environmental knowledge.",en,,Aboriginal Environmental Knowledge : Rational Reverence,False,835
"Environmental Science, Engineering & Technology","Thanks to the street sweeper, our streets are swept clean. Watching this terrific truck at work is mesmerizing. Depending on the kind of truck, it may have high-power sprayers, brooms, vacuums, or other devices to scour and clean the streets. Readers will love the action photographs in this high-interest volume as well as the many cool facts about this magnificent machine through accessible, low-ATOS text.",en,,Street Sweepers,False,409
History Of The Americas,"This work chronicles the rise of Western Union Telegraph from its origins in the helter-skelter ferment of antebellum capitalism to its apogee as the first corporation to monopolize an industry on a national scale. The battles that raged over Western Union's monopoly on nineteenth-century American telecommunications - in Congress, in courts, and in the press - illuminate the fierce tensions over the rising power of corporations after the Civil War and the reshaping of American political economy. The telegraph debate reveals that what we understand as the normative relationship between private capital and public interest is the product of a historical process that was neither inevitable nor uncontested. Western Union's monopoly was not the result of market logic or a managerial revolution, but the conscious creation of entrepreneurs protecting their investments. In the process, these entrepreneurs elevated economic liberalism above traditional republican principles of public interest and helped create a new corporate order.",en,,"Western Union and the Creation of the American Corporate Order, 1845-1893",False,1038
Contemporary Fiction,"A compilation of short stories and poetry from the Eastbourne based writing group, Coast Writers: Neil Squires, Juliette Hale, Brigitte Sumner, Christopher Wirth and John Dorkings",en,,Write Beside The Sea,False,179
"Environmental Science, Engineering & Technology","Over the past three decades, climate change and other uncertainties have wreaked havoc on diverse livelihoods in the Himalayas. Farming communities cope with these changes based on their perceptions of changing climatic patterns. This volume seeks to understand the challenges faced by the Himalayan farmers and their agricultural institutions in constantly changing external production conditions. Given that agriculture is most sensitive to climate change, the aim of",en,,Climate Change and the Future of Himalayan Farming,False,469
History Of The Americas,"The transformation of agriculture was one of the most far-reaching developments of the modern era. In analyzing how and why this change took place in the United States, scholars have most often focused on Midwestern family farmers, who experienced the change during the first half of the twentieth century, and southern sharecroppers, swept off the land by forces beyond their control.",en,4.0,Standing Their Ground : Small Farmers in North Carolina since the Civil War,True,385
History Of The Americas,"More than 300 fascinating photos bring to light the importance of feed mills to American townspeople, economies, and heritage. This wealth of contemporary new photos, together with some vintage images from museum collections, give us a visual record of a changing, and passing, American institution. Covering a time frame of more than 150 years, the book's illuminating text explains what feed mills and grain elevators do, how they work, the role they have played in the American agricultural economy, and the relationship of these businesses to their farmer customers. By focusing on three mills in depth we learn the changing technological and economic conditions that shaped, and sometimes destroyed, mills. These evocative photos capture mills in the southern half of Michigan's lower peninsula, chosen to be representative of the US mills as a whole in terms of their variety, historic evolution, and characteristics.",en,4.23,Down by the Feed Mill: The Past and Present of America's Feed Mills and Grain Elevators,True,923
"Environmental Science, Engineering & Technology","Managing Ocean Environments in a Changing Climate summarizes the current state of several threats to the global oceans. What distinguishes this book most from previous works is that this book begins with a holistic, global-scale focus for the first several chapters and then provides an example of how this approach can be applied on a regional scale, for the Pacific region. Previous works usually have compiled local studies, which are essentially impossible to properly integrate to the global scale. The editors have engaged leading scientists in a number of areas, such as fisheries and marine ecosystems, ocean chemistry, marine biogeochemical cycling, oceans and climate change, and economics, to examine the threats to the oceans both individually and collectively, provide gross estimates of the economic and societal impacts of these threats, and deliver high-level recommendations.",en,,Managing Ocean Environments in a Changing Climate : Sustainability and Economic Perspectives,False,892
History Of The Americas,Skill-building flashcards that provide 600 essential AP terms for easy memorization using the convenience of on-the-go study,en,3.0,5 Steps to a 5 AP U.S. History Flashcards,True,124
"Environmental Science, Engineering & Technology","Over the past 40 years, countries throughout the world have similarly adopted human rights related to environmental governance and protection in national constitutions. Interestingly, these countries vary widely in terms of geography, politics, history, resources, and wealth. This raises the question: why do some countries have constitutional environmental rights while others do not? Bringing together theory from law, political science, and sociology, a global statistical analysis, and a comparative study of constitutional design in South Asia, Gellers presents a comprehensive response to this important question. Moving beyond normative debates and anecdotal developments in case law, as well as efforts to describe and categorize such rights around the world, this book provides a systematic analysis of the expansion of environmental rights using social science methods and theory. The resulting theoretical framework and empirical evidence offer new insights into how domestic and international factors interact during the constitution drafting process to produce new law that is both locally relevant and globally resonant. Scholars, practitioners, and students of law, political science, and sociology interested in understanding how institutions cope with complex problems like environmental degradation and human rights violations will find this book to be essential reading.",en,,The Global Emergence of Constitutional Environmental Rights,False,1390
"Environmental Science, Engineering & Technology","Genetically Engineered Marine Organisms: Environmental and  Economic Risks and Benefits provides a comprehensive,  multidisciplinary overview of the environmental, economic, and  regulatory implications of advances in marine biotechnology. The book  has been specifically designed to bridge the gap between the rapidly  advancing marine biotechnology industry and the government agencies  that are responsible for risk assessment and regulation. Editors  Raymond Zilinskas and Peter Balint have brought together experts in  risk assessment, marine ecology, biotechnology, economics, and the  law, to provide a unique way of examining complex issues in marine  biotechnology.",en,,Genetically Engineered Marine Organisms : Environmental and Economic Risks and Benefits,False,674
"Environmental Science, Engineering & Technology","The chapters of this book are based upon lectures presented at the NATO Advanced Study Institute on Membrane Processes in Separation and Purification (March 21 - April 2, 1993, Curia, Portugal), organized as a successor and update to a similar Institute that took place 10 years ago (p.M.Bungay, H.K. Lonsdale, M.N. de Pinho (Eds.): Synthetic Membranes: Science, Engineering and Applications, NATO ASI Series, Reidel, Dordrecht, 1986). The decade between the two NATO Institutes witnesses the transition from individually researched membrane processes to an applied and established membrane separation technology, as is reflected by the contents of the corresponding proceeding volumes. By and large, the first volume presents itself as a textbook on membrane processes, still valid, while the present volume focuses on areas of separation need as amenable to membrane processing: Biotechnology and Environmental Technology. Accordingly, the contributions to this volume are grouped into ""Membranes in Biotechnology"" (11 papers), ""Membranes in Environmental Technology"" (6 papers), and ""New Concepts"" (4 papers). This is followed by one contribution each on ""Energy Requirements"" and ""Education"", i.e., membrane processes within an academic curriculum. The book thus amounts to a state of the art of applied membrane processing and may well augment the more fundamental approach of its predecessor.",en,,Membrane Processes in Separation and Purification,False,1398
"Environmental Science, Engineering & Technology","A practical introduction to the applications, principles, design, and fabrication of biosensors, which are used to measure and analyze clinical medical problems, biotechnology processes, environmental impact, and living tissue. This accessible volume emphasizes accuracy of interpretation and maximizing information yield.",en,,Introduction to Bioanalytical Sensors,False,322
"Environmental Science, Engineering & Technology","The possibilities surrounding the use of renewable resources for chemical feedstock is well known. What appears to stand between the concept and realization of using renewable resources is technology development.  This book examines the roadblocks facing development of renewables, discusses new building blocks and their properties, mechanisms of transformations of biomass polymers into single products, and new methodologies that promise to improve the utility of",en,,Chemicals and Materials from Renewable Resources,False,466
"Environmental Science, Engineering & Technology","This volume breaks new ground in applying the current body of knowledge in the study of pharmaceauticals, personal care products and their environmental impact to the assessment of the magnitude and extent of the use of illicit drugs at the local community level. It offers new insights on the use of environmental monitoring and includes discussion on waste treatment, ecotoxicological issues, and risk assessment.",en,,Pharmaceuticals and Personal Care Products in the Environment : Scientific and Regulatory Issues,False,415
Reference Works,"This reference work contains approximately 40,000 international tradenames by which more than 6000 generic chemicals are known and marketed worldwide. This set enables the user to locate the tradename equivalent of generic chemicals. They also provide extensive information about the generic chemicals and includes a separate listing of tradename products containing the chemical entry as a major constituent. Volume 1 features chemical to tradename references and volume 2 is a tradename to chemical cross reference and manufacturers directory.",en,,"Industrial Chemical Thesaurus, Volume 1",False,545
"Environmental Science, Engineering & Technology","This book focuses on food security and safety issues in Africa, a continent presently challenged with malnutrition and food insecurity. The continuous increase in the human population of Africa will lead to greater food demands, and climate change has already affected food production in most parts of Africa, resulting in drought, reduced crop yields, and loss of livestock and income. In order for Africa to be food-secure, safe and nutritious food has to be available, well-distributed, and sufficient to meet people's food requirements.",en,,Food Security and Safety : African Perspectives,False,540
"Environmental Science, Engineering & Technology","The most recent advances in research on coastal saline soil rehabilitation and utilization based on forestry approach are discussed. The forestry approach is emphasized rather than physical or engineering measures to ameliorate saline soils, which is significant for coastal environmental improvement and land resources expansion. The monograph is a useful reference  for researchers using techniques of ecology, forestry and agronomy.",en,,Coastal Saline Soil Rehabilitation and Utilization Based on Forestry Approaches in China,False,435
"Environmental Science, Engineering & Technology","Current trends in population growth hint that global food production is unlikely to gratify future demands under predicted climate change scenarios unless the rates of crop improvement are accelerated. Crop production faces numerous challenges, due to changing environmental conditions and evolving needs for new plant-derived materials. These challenges come at a time when the plant sciences are witnessing remarkable progress in understanding fundamental processes of plant growth and development. Drought, heat, cold and salinity are among the major abiotic stresses that often cause a series of morphological, physiological, biochemical and molecular alterations which adversely affect plant growth, development and productivity, consequently posing a serious challenge for sustainable food production in large parts of the world, particularly in emerging countries. This emphasizes the urgency of finding better ways to translate new advances in plant science into concrete successes in agricultural production. To overcome the pessimistic influence of abiotic stresses and to maintain the food security in the face of these challenges, new, improved and tolerant crop varieties, contemporary breeding techniques, and cavernous understanding of the mechanisms that counteract detrimental climate changes are indubitably needed to sustain the requisite food supply. In this context, Improvement of Crops in the Era of Climatic Changes, Volume 1 provides a state-of-the-art guide to recent developments that aid in the understanding of plant responses to abiotic stresses and lead to new horizons vis-a-vis prime strategies for translating current research into applied solutions to create strong yields and overall crop improvement under such unfavourable environments.",en,,Improvement of Crops in the Era of Climatic Changes : Volume 1,False,1774
"Environmental Science, Engineering & Technology","Interesting studies of plant diseases in Jamaica have been conducted since the early twentieth century. This book gives an account of the history and development of the science of plant pathology and of plant disease control in Jamaica and shows how the activities have contributed to the development of the island's agricultural heritage. Coates-Beckford and Tennant draw together and integrate a wide range of material to provide a unique insight into how the major plant diseases in Jamaica have been, and still are being, overcome.",en,,Plant Disease : The Jamaican Experience,False,535
History Of The Americas,Now a Major Motion Picture Starring Antonio Banderas,en,3.9,"The 33 : Deep Down Dark: The Untold Stories of 33 Men Buried in a Chilean Mine, and the Miracle That Set Them Free",True,52
"Environmental Science, Engineering & Technology","Since the introduction of the first commercial inductively coupled plasma mass spectrometry (ICP-MS) instruments in 1983, the technique has gained rapid and wide acceptance in many analytical laboratories. There are now well over 400 instruments installed worldwide, which are being used in a range of disciplines for the analysis of geological, environmental, water, medical, biological, metallurgical, nuclear and industrial samples. Experience oflCP-MS in many laboratories is limited, and there is therefore a need for a handbook containing practical advice in addition to fundamental informa  tion. Such a handbook would be useful not only to users new to the technique, but also to users with some experience who wish to expand their knowledge of the subject. Therefore we have written this book for users in a variety of fields with differing levels of experience and expertise. The first two chapters provide a brief history of ICP-MS and discussions of design concepts, ICP physical processes, and fundamental principles of instrument operation. Armed with this background knowledge, users will be better equipped to evaluate advantages and limitations of the technique. Detailed descriptions and information for instrumental components are provided in chapter 3. Subsequent chapters deal with the practical aspects of sample analysis by ICP-MS. Whether samples are to be analysed in liquid, solid *or gaseous form is always an important consideration, and there is a wide choice of sample introduction techniques.",en,,Handbook of Inductively Coupled Plasma Mass Spectrometry,False,1523
Children's Fiction,Presents an illustrated version of the poem about how the beauties of nature inspire the heart with gratitude. By the illustrator of Come Meet Muffin.,en,4.17,"Father, We Thank You",True,150
European History,"Simple paradigms of Muslim-Christian confrontation and the rise of Europe in the seventeenth century do not suffice to explain the ways in which European mapping envisioned the 'Turks' in image and narrative. Rather, maps, travel accounts, compendia of knowledge, and other texts created a picture of the Ottoman Empire through a complex layering of history, ethnography, and eyewitness testimony, which juxtaposed current events to classical and biblical history; counted space in terms of peoples, routes, and fortresses; and used the land and seascapes of the map to assert ownership, declare victory, and embody imperial power's reach. Enriched throughout by examples of Ottoman self-mapping, this book examines how Ottomans and their empire were mapped in the narrative and visual imagination of early modern Europe's Christian kingdoms. The maps serve as centerpieces for discussions of early modern space, time, borders, stages of travel, information flows, invocations of authority, and cross-cultural relations.",en,5.0,"Mapping the Ottomans : Sovereignty, Territory, and Identity in the Early Modern Mediterranean",True,1020
